CC	KO	n_changes	parameter	var_type	variable
0.00126831338821	WT		PDC1	flux	HXK_HXK2
1.41649405684e-05	WT		PDC5	flux	HXK_HXK2
1.115053927e-05	WT		PDC6	flux	HXK_HXK2
-2.47531538923e-14	WT		PFK1	flux	HXK_HXK2
0.343297266517	WT		PFK2	flux	HXK_HXK2
0.02235632616	WT		PGI1	flux	HXK_HXK2
0.166488540462	WT		PGK1	flux	HXK_HXK2
-2.47531538923e-14	WT		PGM1	flux	HXK_HXK2
0.380167586011	WT		ADH1	flux	PDC_PDC1
-1.29841481148e-14	WT		ADH5	flux	PDC_PDC1
0.0666843784936	WT		CDC19	flux	PDC_PDC1
0.00306414357866	WT		ENO1	flux	PDC_PDC1
0.013628903459	WT		ENO2	flux	PDC_PDC1
0.10699231296	WT		FBA1	flux	PDC_PDC1
0.00104313238906	WT		GLK1	flux	PDC_PDC1
-1.29841481148e-14	WT		GPD1	flux	PDC_PDC1
-1.29841481148e-14	WT		GPD2	flux	PDC_PDC1
0.00290334144999	WT		GPM1	flux	PDC_PDC1
-1.29841481148e-14	WT		HOR2	flux	PDC_PDC1
0.078537699739	WT		HXK1	flux	PDC_PDC1
1.78688712617	WT		HXK2	flux	PDC_PDC1
0.0176718344365	WT		PDC1	flux	PDC_PDC1
-0.0109702152325	WT		PDC5	flux	PDC_PDC1
-0.00863569117296	WT		PDC6	flux	PDC_PDC1
-1.29841481148e-14	WT		PFK1	flux	PDC_PDC1
0.374442473718	WT		PFK2	flux	PDC_PDC1
0.0238839429506	WT		PGI1	flux	PDC_PDC1
0.181063393991	WT		PGK1	flux	PDC_PDC1
-1.29841481148e-14	WT		PGM1	flux	PDC_PDC1
0.359864813126	WT		ADH1	flux	PDC_PDC5
-1.36130554701e-14	WT		ADH5	flux	PDC_PDC5
0.0631214133203	WT		CDC19	flux	PDC_PDC5
0.00290042789213	WT		ENO1	flux	PDC_PDC5
0.0129006979933	WT		ENO2	flux	PDC_PDC5
0.101275309517	WT		FBA1	flux	PDC_PDC5
0.000987398409254	WT		GLK1	flux	PDC_PDC5
-1.36130554701e-14	WT		GPD1	flux	PDC_PDC5
-1.36130554701e-14	WT		GPD2	flux	PDC_PDC5
0.00274821733996	WT		GPM1	flux	PDC_PDC5
-1.36130554701e-14	WT		HOR2	flux	PDC_PDC5
0.0743413238312	WT		HXK1	flux	PDC_PDC5
1.69294436248	WT		HXK2	flux	PDC_PDC5
-0.929813576715	WT		PDC1	flux	PDC_PDC5
0.989615220459	WT		PDC5	flux	PDC_PDC5
-0.00817429147375	WT		PDC6	flux	PDC_PDC5
-1.36130554701e-14	WT		PFK1	flux	PDC_PDC5
0.354438773017	WT		PFK2	flux	PDC_PDC5
0.0226077904532	WT		PGI1	flux	PDC_PDC5
0.17138827606	WT		PGK1	flux	PDC_PDC5
-1.36130554701e-14	WT		PGM1	flux	PDC_PDC5
0.247255281906	WT		ADH1	flux	PDC_PDC6
-5.76576007957e-15	WT		ADH5	flux	PDC_PDC6
0.0433631290614	WT		CDC19	flux	PDC_PDC6
0.00199254421208	WT		ENO1	flux	PDC_PDC6
0.00886248258449	WT		ENO2	flux	PDC_PDC6
0.0695726113669	WT		FBA1	flux	PDC_PDC6
0.000678326042923	WT		GLK1	flux	PDC_PDC6
-5.76576007957e-15	WT		GPD1	flux	PDC_PDC6
-5.76576007957e-15	WT		GPD2	flux	PDC_PDC6
0.00188797816471	WT		GPM1	flux	PDC_PDC6
-5.76576007957e-15	WT		HOR2	flux	PDC_PDC6
0.0510706632249	WT		HXK1	flux	PDC_PDC6
1.16869431983	WT		HXK2	flux	PDC_PDC6
-0.638780894888	WT		PDC1	flux	PDC_PDC6
-0.00713369356527	WT		PDC5	flux	PDC_PDC6
0.994384101835	WT		PDC6	flux	PDC_PDC6
-5.76576007957e-15	WT		PFK1	flux	PDC_PDC6
0.243503019955	WT		PFK2	flux	PDC_PDC6
0.0155309919849	WT		PGI1	flux	PDC_PDC6
0.117736824619	WT		PGK1	flux	PDC_PDC6
-5.76576007957e-15	WT		PGM1	flux	PDC_PDC6
0.363457255852	WT		ADH1	flux	PFK
